time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1/23/21,2.5,99.25,5,2.7,,,,,,,,,,,,,,,,,
2/17/21,2.73,98.82,3,2.8,,,,,,,,,,,,,,,,,
2/17/21,2.71,98.83,2,3.3,,,,,,,,,,,,,,,,,
2/18/21,2.37,98.88,3,2,,,,,,,,,,,,,,,,,
2/19/21,2.62,98.85,15,2,,,,,,,,,,,,,,,,,
2/22/21,2.54,98.83,5,2.7,,,,,,,,,,,,,,,,,
2/23/21,2.49,98.79,3,2.1,,,,,,,,,,,,,,,,,
2/23/21,2.48,98.82,4,2.5,,,,,,,,,,,,,,,,,
2/27/21,2.55,98.67,2,2.7,,,,,,,,,,,,,,,,,
3/1/21,2.49,98.83,10,2.1,,,,,,,,,,,,,,,,,
3/1/21,2.54,98.79,3,2.5,,,,,,,,,,,,,,,,,
3/1/21,2.52,98.8,2,2.6,,,,,,,,,,,,,,,,,
3/1/21,2.51,98.78,4,2.3,,,,,,,,,,,,,,,,,
3/4/21,2.7,98.68,1,2,,,,,,,,,,,,,,,,,
3/11/21,2.45,98.8,5,1.6,,,,,,,,,,,,,,,,,
3/13/21,2.46,98.78,2,1.7,,,,,,,,,,,,,,,,,
3/14/21,2.55,98.82,5,3.9,,,,,,,,,,,,,,,,,
3/16/21,2.36,98.98,139,2.9,,,,,,,,,,,,,,,,,
3/17/21,2.51,98.84,4,2.4,,,,,,,,,,,,,,,,,
3/17/21,2.48,98.84,4,2.4,,,,,,,,,,,,,,,,,
3/19/21,2.61,98.65,3,2.5,,,,,,,,,,,,,,,,,
3/21/21,2.45,98.9,5,1.8,,,,,,,,,,,,,,,,,
3/21/21,2.51,98.83,5,1.7,,,,,,,,,,,,,,,,,
3/22/21,2.66,98.81,137,2.2,,,,,,,,,,,,,,,,,
3/24/21,2.59,98.73,5,2.3,,,,,,,,,,,,,,,,,
3/24/21,2.46,98.88,1,2.2,,,,,,,,,,,,,,,,,
3/24/21,2.48,98.87,2,1.8,,,,,,,,,,,,,,,,,
3/24/21,2.5,98.8,1,2.6,,,,,,,,,,,,,,,,,
3/24/21,2.5,98.86,3,1.9,,,,,,,,,,,,,,,,,
3/25/21,2.26,99.03,137,2.7,,,,,,,,,,,,,,,,,
4/3/21,2.38,98.88,3,2.7,,,,,,,,,,,,,,,,,
